,utterance,filtered_tokens,normalized_tokens,label_predictions
0,question: Calculate prob of sequence cbb when three letters picked without replacement from bbmbcmmb. answer: 1/28,"['question', ':', 'calculate', 'prob', 'of', 'sequence', 'cbb', 'when', 'three', 'letters', 'picked', 'without', 'replacement', 'from', 'bbmbcmmb.', 'answer', ':', '1/28']","['question', ':', ' ', 'calculate', ' ', 'prob', ' ', 'of', ' ', 'sequence', ' ', 'cbb', ' ', 'when', ' ', 'three', ' ', 'letters', ' ', 'picked', ' ', 'without', ' ', 'replacement', ' ', 'from', ' ', 'bbmbcmmb.', ' ', 'answer', ':', ' ', '1/28']","[('question', 'None'), (':', 'None'), ('calculate', 'None'), ('prob', 'None'), ('of', 'None'), ('sequence', 'None'), ('cbb', 'characters'), ('when', 'None'), ('three', 'cardinal'), ('letters', 'None'), ('picked', 'None'), ('without', 'None'), ('replacement', 'None'), ('from', 'None'), ('bbmbcmmb.', 'characters'), ('answer', 'None'), (':', 'None'), ('1/28', 'fraction')]"
1,"question: What is prob of sequence fff when three letters picked without replacement from {x: 2, f: 3, k: 1, d: 3, b: 1, a: 2}? answer: 1/220","['question', ':', 'what', 'is', 'prob', 'of', 'sequence', 'fff', 'when', 'three', 'letters', 'picked', 'without', 'replacement', 'from', '{x', ':', '2', ',', 'f', ':', '3', ',', 'k', ':', '1', ',', 'd', ':', '3', ',', 'b', ':', '1', ',', 'a', ':', '2}', '?', 'answer', ':', '1/220']","['question', ':', ' ', 'what', ' ', 'is', ' ', 'prob', ' ', 'of', ' ', 'sequence', ' ', 'fff', ' ', 'when', ' ', 'three', ' ', 'letters', ' ', 'picked', ' ', 'without', ' ', 'replacement', ' ', 'from', ' ', '{x', ':', ' ', '2', ',', ' ', 'f', ':', ' ', '3', ',', ' ', 'k', ':', ' ', '1', ',', ' ', 'd', ':', ' ', '3', ',', ' ', 'b', ':', ' ', '1', ',', ' ', 'a', ':', ' ', '2}', '?', ' ', 'answer', ':', ' ', '1/220']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('prob', 'None'), ('of', 'None'), ('sequence', 'None'), ('fff', 'characters'), ('when', 'None'), ('three', 'cardinal'), ('letters', 'None'), ('picked', 'None'), ('without', 'None'), ('replacement', 'None'), ('from', 'None'), ('{x', 'characters'), (':', 'None'), ('2', 'cardinal'), (',', 'None'), ('f', 'characters'), (':', 'None'), ('3', 'cardinal'), (',', 'None'), ('k', 'characters'), (':', 'None'), ('1', 'cardinal'), (',', 'None'), ('d', 'characters'), (':', 'None'), ('3', 'cardinal'), (',', 'None'), ('b', 'characters'), (':', 'None'), ('1', 'cardinal'), (',', 'None'), ('a', 'characters'), (':', 'None'), ('2', 'cardinal'), ('}', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('1/220', 'fraction')]"
2,"question: Three letters picked without replacement from {g: 1, d: 19}. What is prob of sequence gdd? answer: 1/20","['question', ':', 'three', 'letters', 'picked', 'without', 'replacement', 'from', '{g', ':', '1', ',', 'd', ':', '19}.', 'what', 'is', 'prob', 'of', 'sequence', 'gdd', '?', 'answer', ':', '1/20']","['question', ':', ' ', 'three', ' ', 'letters', ' ', 'picked', ' ', 'without', ' ', 'replacement', ' ', 'from', ' ', '{g', ':', ' ', '1', ',', ' ', 'd', ':', ' ', '19}.', ' ', 'what', ' ', 'is', ' ', 'prob', ' ', 'of', ' ', 'sequence', ' ', 'gdd', '?', ' ', 'answer', ':', ' ', '1/20']","[('question', 'None'), (':', 'None'), ('three', 'cardinal'), ('letters', 'None'), ('picked', 'None'), ('without', 'None'), ('replacement', 'None'), ('from', 'None'), ('{g', 'None'), (':', 'None'), ('1', 'number_digit'), (',', 'None'), ('d', 'None'), (':', 'None'), ('19}., ', 'number_digit'), ('what', 'None'), ('is', 'None'), ('prob', 'None'), ('of', 'None'), ('sequence', 'None'), ('gdd', 'characters'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('1/20', 'fraction')]"
3,question: Simplify (-5 + ((sqrt(286)*-1)/sqrt(11) - 3*sqrt(104)/sqrt(4))/(sqrt(162) - (sqrt(162) - (-5*(-2*sqrt(162) - sqrt(162)) + sqrt(162)) - sqrt(162))))**2. answer: 40*sqrt(13)/153 + 585433/23409,"['question', ':', 'simplify', '(-5', '+', '((sqrt(286)', '*', '-1)/sqrt(11)', '-', '3', '*', 'sqrt(104)/sqrt(4))/(sqrt(162)', '-', '(sqrt(162)', '-', '(-5', '*', '(-2', '*', 'sqrt(162)', '-', 'sqrt(162))', '+', 'sqrt(162))', '-', 'sqrt(162))))', '*', '*', '2.', 'answer', ':', '40', '*', 'sqrt(13)/153', '+', '585433/23409']","['question', ':', ' ', 'simplify', ' ', '(-5', ' ', '+', ' ', '((sqrt(286)', '*', '-1)/sqrt(11)', ' ', '-', ' ', '3', '*', 'sqrt(104)/sqrt(4))/(sqrt(162)', ' ', '-', ' ', '(sqrt(162)', ' ', '-', ' ', '(-5', '*', '(-2', '*', 'sqrt(162)', ' ', '-', ' ', 'sqrt(162))', ' ', '+', ' ', 'sqrt(162))', ' ', '-', ' ', 'sqrt(162))))', '*', '*', '2.', ' ', 'answer', ':', ' ', '40', '*', 'sqrt(13)/153', ' ', '+', ' ', '585433/23409']","[('question', 'None'), (':', 'None'), ('simplify', 'None'), ('(-5', 'cardinal'), ('+', 'None'), ('((sqrt(286)', 'characters'), ('*', 'None'), ('-1)/sqrt(11)', 'characters'), ('-', 'None'), ('3', 'cardinal'), ('*', 'None'), ('sqrt(104)/sqrt(4)', 'characters'), ('/', 'None'), ('(sqrt(162)', 'characters'), ('-', 'None'), ('(sqrt(162)', 'characters'), ('-', 'None'), ('(-5', 'cardinal'), ('*', 'None'), ('(-2', 'cardinal'), ('*', 'None'), ('sqrt(162)', 'characters'), ('-', 'None'), ('sqrt(162))', 'characters'), ('+', 'None'), ('sqrt(162)', 'characters'), ('-', 'None'), ('sqrt(162))', 'characters'), ('*', 'None'), ('*', 'None'), ('2.', 'cardinal'), ('answer', 'None'), (':', 'None'), ('40', 'cardinal'), ('*', 'None'), ('sqrt(13)/153', 'characters'), ('+', 'None'), ('585433/23409', 'fraction')]"
4,question: Simplify (4 + 4 + -5 + sqrt(1100) + sqrt(1100))**2 + 2. answer: 120*sqrt(11) + 4411,"['question', ':', 'simplify', '(4', '+', '4', '+', '-5', '+', 'sqrt(1100)', '+', 'sqrt(1100))', '*', '*', '2', '+', '2.', 'answer', ':', '120', '*', 'sqrt(11)', '+', '4411']","['question', ':', ' ', 'simplify', ' ', '(4', ' ', '+', ' ', '4', ' ', '+', ' ', '-5', ' ', '+', ' ', 'sqrt(1100)', ' ', '+', ' ', 'sqrt(1100))', '*', '*', '2', ' ', '+', ' ', '2.', ' ', 'answer', ':', ' ', '120', '*', 'sqrt(11)', ' ', '+', ' ', '4411']","[('question', 'None'), (':', 'None'), ('simplify', 'None'), ('(4', 'cardinal'), ('+', 'None'), ('4', 'cardinal'), ('+', 'None'), ('-5', 'cardinal'), ('+', 'None'), ('sqrt(1100)', 'characters'), ('+', 'None'), ('sqrt(1100))', 'characters'), ('*', 'None'), ('*', 'None'), ('2', 'cardinal'), ('+', 'None'), ('2.', 'cardinal'), ('answer', 'None'), (':', 'None'), ('120', 'cardinal'), ('*', 'None'), ('sqrt(11)', 'characters'), ('+', 'None'), ('4411', 'cardinal')]"
5,question: Is 5937179 a composite number? answer: False,"['question', ':', 'is', '5937179', 'a', 'composite', 'number', '?', 'answer', ':', 'false']","['question', ':', ' ', 'is', ' ', '5937179', ' ', 'a', ' ', 'composite', ' ', 'number', '?', ' ', 'answer', ':', ' ', 'false']","[('question', 'None'), (':', 'None'), ('is', 'None'), ('5937179', 'number_digit'), ('a', 'None'), ('composite', 'None'), ('number', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('false', 'None')]"
6,question: Is 88411 composite? answer: False,"['question', ':', 'is', '88411', 'composite', '?', 'answer', ':', 'false']","['question', ':', ' ', 'is', ' ', '88411', ' ', 'composite', '?', ' ', 'answer', ':', ' ', 'false']","['question', 'None', (':', 'None'), ('is', 'None'), ('88411', 'number_digit'), ('composite', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('false', 'None')]"
7,question: Is 69944253 a composite number? answer: True,"['question', ':', 'is', '69944253', 'a', 'composite', 'number', '?', 'answer', ':', 'true']","['question', ':', ' ', 'is', ' ', '69944253', ' ', 'a', ' ', 'composite', ' ', 'number', '?', ' ', 'answer', ':', ' ', 'true']","[('question', 'None'), (':', 'None'), ('is', 'None'), ('69944253', 'cardinal'), ('a', 'None'), ('composite', 'None'), ('number', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('true', 'None')]"
8,question: -14214 (base 8) to base 9 answer: -8552,"['question', ':', '-14214', '(base', '8)', 'to', 'base', '9', 'answer', ':', '-8552']","['question', ':', ' ', '-14214', ' ', '(base', ' ', '8)', ' ', 'to', ' ', 'base', ' ', '9', ' ', 'answer', ':', ' ', '-8552']","[('question', 'None'), (':', 'None'), ('-14214', 'cardinal'), ('(base', 'characters'), ('8)', 'characters'), ('to', 'None'), ('base', 'characters'), ('9', 'characters'), ('answer', 'None'), (':', 'None'), ('-8552', 'cardinal')]"
9,question: 663 (base 10) to base 9 answer: 816,"['question', ':', '663', '(base', '10)', 'to', 'base', '9', 'answer', ':', '816']","['question', ':', ' ', '663', ' ', '(base', ' ', '10)', ' ', 'to', ' ', 'base', ' ', '9', ' ', 'answer', ':', ' ', '816']","[('question', 'None'), (':', 'None'), ('663', 'cardinal'), ('(base', 'characters'), ('10)', 'number_digit'), ('to', 'None'), ('base', 'characters'), ('9', 'number_digit'), ('answer', 'None'), (':', 'None'), ('816', 'cardinal')]"
